name;address;sector
Mitra Meditama Abadi;Jl. Simpang Danau Limboto Timur II A.5 - I.32 5 Klaten  - Kabupaten;Chemists
Jayamas Medica Industri;Jalan Kergan 2857485 Klaten  - Kabupaten;Chemists
Klinik Kimia Farma Sepinggan;Jalan Marsma Iswahyudi 70276114 Balikpapan;Chemists
Klinik Kimia Farma 141;Jalan Sumber - Kesambi 13245171 Klaten  - Kabupaten;Chemists
Tirta Asri;A 24 Jl. Karah Indah 2460232 Kota Surabaya;Herbalist (Retail)
Apotek Kimia Farma 446;Jalan Narogong 1416820 West Java;Herbalist (Retail)
Klinik Kimia Farma 217;Jalan Jenderal Ahmad Yani 17978813 Manis Mata  - Kalimantan;Herbalist (Retail)
Apotek Kimia Farma Medan;Jalan Palang Merah 3220151 Obi Timur  - Sum;Herbalist (Retail)
Sinar Abadi Jaya;Jalan Gajah Mada 4178122 Kota Pontianak;Herbalist (Retail)
Apotek Kimia Farma 463;Jl. Bengkong Ratu 1129431 Riau Islands;Herbalist (Retail)
Apotek Kimia Farma 112;Jalan Diponegoro 873111 Palangkaraya  - Palangka;Herbalist (Retail)
Kimia Farma Apotek;Jl. Brigjen Sudiarto 3050714 Salatiga;Herbalist (Retail)
Apotek Kimia Farma Pelengkap RS Telling;Jalan 14 Februari 1495113 Kota Manado;Herbalist (Retail)
Apotek Kimia Farma;Grand Wisata 5117211 Klaten  - Kabupaten;Herbalist (Retail)
Natura Perisa Aroma;Jalan Insinyur Sutami 935122 Kota Bandar Lampung;Herbalist (Retail)
Klinik Kimia Farma Mapanget;Jalan A A Maramis 95113 Kota Manado;Herbalist (Retail)
Apotek Kimia Farma;Jalan Kelapa Gading 1 1557438 Klaten  - Kabupaten;Herbalist (Retail)
Rumah Sakit Umum Panti Baktiningsih;Klepu Sendangmulyo Minggir 55562 Kota Yogyakarta;Herbalist (Retail)
Kimia Farma;Jl. Kol. L. Soetarto 5757126 Surakarta;Herbalist (Retail)
Kimia Farma Proklamasi;Jl. Proklamasi 2425237 Kota Padang;Herbalist (Retail)
Apotek Kimia Farma 330 Thi;Jl. Boulevard Hijau Raya 17151 Ruko Sentra Niaga Blok B8 No. 9;Herbalist (Retail)
Sejahtera Surya Intrio;Jalan Ngagel Jaya Utara 10660284 Kota Surabaya;Herbalist (Retail)
Apotek Kimia Farma212;Jalan Sukowati 44057215 Klaten  - Kabupaten;Herbalist (Retail)
