name|address|sector
Kantor Dinas Pertanian, Perkebunan, Peternakan Prop. Sulawesi Tengah|Jalan Raden Ajeng Kartini 8094111 Kota Palu|Administration - Government & Senate
Badan Pengelola Data Elektronik Surabaya|Jalan Jenderal Ahmad Yani 24260243 Kota Surabaya|Administration - Government & Senate
Pusat Pengukuhan Dan Penatagunaan Kawasan Hutan|Jalan Insinyur Haji Juanda 10016119 Kota Bogor|Administration - Government & Senate
Dinas Transmigrasi Dan Kependudukan Pemerintah Provinsi Riau|Jalan Pepaya 5728127 Kota Pekanbaru|Administration - Government & Senate
Dinas Pendapatan, Pengelolaan Keuangan Dan Aset Kota Depok|Jalan Margonda 5416431 Depok|Administration - Government & Senate
Dinas Pekerjaan Umum Pengairan Provinsi Medan|Jl. Sakti Lubis 720229 Obi Timur  - Sum|Administration - Government & Senate
Central Sulawesi Tourism And Cultural Office|Jalan Dewi Sartika 9194114 Kota Palu|Administration - Government & Senate
Pemerintah Kota Denpasar|Jalan Gajah Mada 184211 Dompu  - Bali|Administration - Government & Senate
Pemkot Semarang|Jalan Pemuda 14850138 Kota Semarang|Administration - Government & Senate
Sekretariat Jenderal Kementerian Energi Dan Sumber Daya Mineral Republik Indonesia|Jalan Medan Merdeka Selatan 1810250 Jakarta|Administration - Government & Senate
Dinas Pendidikan Kota. Banjarmasin|Jalan Piere Tendean 2970231 Kota Banjarmasin  - Gadang|Administration - Government & Senate
Kantor Kependudukan Keluarga Berencana Dan Catatan Sipil Kabupaten Kuningan|Jl. RE Martadinata 6645513 Klaten  - Kabupaten|Administration - Government & Senate
Pemerintah Kabupaten Bima|Jalan Soekarno Hatta 84115 Kota Bima|Administration - Government & Senate
Pemerintah Kabupaten Mojokerto|Jl. A.Yani 16 Klaten  - Kabupaten|Administration - Government & Senate
Badan Pengurus Daerah Asosiasi Kelompok Uppks Yogyakarta|Jalan Bumijo Kulon JL 1 2955231 Kota Yogyakarta|Administration - Government & Senate
Politeknik Negeri Kupang|Jl. Adi Sucipto Panfui P.O Box 139 Klaten  - Kabupaten|Administration - Government & Senate
Pemerintah Kabupaten Klaten|Jalan Pemuda 29457412 Klaten  - Kabupaten|Administration - Government & Senate
Dinas Pengelola Keuangan Daerah Lumajang|Jl. Alun Alun Utara 7 Dompu  - Bali|Administration - Government & Senate
Dinas Komunikasi Dan Informatika Tangerang Selatan|Jalan Maruga 115418 Kota Tangerang Selatan|Administration - Government & Senate
Pemkab Sleman|Jl. Parasamya 155511 Klaten  - Kabupaten|Administration - Government & Senate
Direktorat Jenderal Hak Kekayaan Intelektual Kementerian Hukum Dan Ham|Jalan Daan Mogot 2415119 Kota Tangerang|Government AgenciesAdministration - Government & Senate
Pemerintah Kabupaten Asahan|Jl. Jend. Sudirman 521211 Klaten  - Kabupaten|Government AgenciesAdministration - Government & Senate
Pemerintah Daerah Kota Bogor|Jl. Ir. H. Juanda 1016122 Klaten  - Kabupaten|Government AgenciesAdministration - Government & Senate
Pemerintah Kota Makassar|Jalan Jenderal Ahmad Yani 210570 Jakarta Timur  - Makasar|Government AgenciesAdministration - Government & Senate
Badan Pemberdayaan Masyarakat, Perempuan, Dan Keluarga Berencana|Jl. Dr. Soeparno 2453131 Klaten  - Kabupaten|Government AgenciesAdministration - Government & Senate
Dinas Pendapatan Daerah Jambi|Jalan Jenderal Sudirman 11736138 Kota Jambi|Government AgenciesAdministration - Government & Senate
Direktorat PBB Dan Bphtb Dirjen Pajak|Jalan Jenderal Gatot Subroto 4012210 Jakarta|Government AgenciesAdministration - Government & Senate
Diskominfo Kabupaten Karangasem|Jalan Ngurah Rai 2980811 Klaten  - Kabupaten|Government AgenciesAdministration - Government & Senate
Satpol PP|Kantor Kasatpol PP Provinsi DKI 810250 Jakarta|Government AgenciesAdministration - Government & Senate
Direktorat Topografi Angkatan Darat|Jalan Kali Baru Timur 5 4710410 Jakarta|Government AgenciesAdministration - Government & Senate
Dinas Kependudukan Pemalang|Jl. Gatot Subroto 37 Klaten  - Kabupaten|Government AgenciesAdministration - Government & Senate
Pemerintah Aceh|Jalan Teuku Nyak Arief 21923116 Kota Banda Aceh|Government AgenciesAdministration - Government & Senate
Pemkot Surabaya|Jl. Taman Surya 160272 Kota Surabaya|Government AgenciesAdministration - Government & Senate
Indonesia Dirgantara Expo|Jalan Gandaria 12240 Jakarta|Government AgenciesAdministration - Government & Senate
Kantor Bappeda Kabupaten Bima|Jl. Soekarno-Hatta-Raba 284113 Kota Bima|Government AgenciesAdministration - Government & Senate
Kementerian Tenaga Kerja Dan Transmigrasi|Jl. Taman Makan Pahlawan Kalibata 1712740 Jakarta|Government AgenciesAdministration - Government & Senate
Kantor Kependudukan Kabupaten Gresik|Jalan Kyai Haji Wahid Hasyim 561114 Klaten  - Kabupaten|Government AgenciesAdministration - Government & Senate
Direktorat Jenderal Peningkatan Mutu Pendidik Dan Tenaga Kependidikan|Gedung D Lantai 10270 Jakarta|Government AgenciesAdministration - Government & Senate
Pemerintah Kabupaten Lebak|Jl. Abdi Negara 342312 Klaten  - Kabupaten|Government AgenciesAdministration - Government & Senate
Dinas Komunikasi Dan Informatika|Floor  Kota Malang|Government AgenciesAdministration - Government & Senate
Kantor Dinas Pendapatan Prop. Sulawesi Tenggara|Jalan Balai Kota 793111 Kota Kendari|Administration - Government & Senate
Bea Cukai Makassar|Jalan Haji Abdurahman 213910 Jakarta Timur  - Makasar|Administration - Government & Senate
Kantor Kependudukan Dan Catatan Sipil Kabupaten Sumbawa|Jalan Buntu 457464 Klaten  - Kabupaten|Administration - Government & Senate
Pemkab Lahat|Jl. Kol. Burlian 1 Klaten  - Kabupaten|Administration - Government & Senate
Dinas Pertanian Dan Kehutanan Kabupaten Bogor|Jl. Bersih Desa Tengah Cibinong 16914 Klaten  - Kabupaten|Administration - Government & Senate
Kementerian Negara Koperasi Dan Usaha Kecil Menengah|Jalan HR Rasuna Said 12940 Jakarta|Administration - Government & Senate
Kementerian Koordinator Bidang Pembangunan Manusia Dan Kebudayaan Manusia|Jalan Medan Merdeka Barat 2110150 Jakarta|Administration - Government & Senate
Badan Kependudukan Catatan Sipil Dan Keluarga Berencana Purwakarta|Jl. Ibrahhim Singadilaga 54 Klaten  - Kabupaten|Administration - Government & Senate
Dinas Kependudukan Tenaga Kerja Dan Sosial Kabupaten Deli Serdang|Jl Karya Usaha 3 Kota Lubuk Linggau|Administration - Government & Senate
Pemerintah Daerah Daerah Istimewa Yogyakarta|Komp. Kepatihan 55213 Kota Yogyakarta|Administration - Government & Senate
Pemerintah Kabupaten Kudus|Jl. Simpang Tujuh 159343 Klaten  - Kabupaten|Administration - Government & Senate
Mapan Banasindo Abadi|JL Dr Herman Johanes 9985000 Kota Kupang|Administration - Government & Senate
Ministry Of State Owned Enterprise|Kementerian Bumn Building 1310110 Jakarta|Administration - Government & Senate
Badan Pertanahan Nasional Kantor Wilayah Propinsi Bali|Jalan Kapten Cokorde Agung Tresna 780234 Dompu  - Bali|Administration - Government & Senate
Badan Kepegawaian Daerah Tangerang|Kantor Lingkup Dinas PU Tigaraksa 15710 Klaten  - Kabupaten|Administration - Government & Senate
Dinas Koperasi Dan UMKM Jawa Tengah|Jalan Sisingamangaraja 350232 Kota Semarang|Administration - Government & Senate
Diskominfo Kota Serang|Jalan Jenderal Sudirman 242124 Kota Serang|Administration - Government & Senate
Badan Penelitian Dan Pengembangan Hukum Dan Hak Asasi Manusia|Jalan HR Rasuna Said 12920 Jakarta|Administration - Government & Senate
Diskominfo Pemerintah Kabupaten Bantul|Jl. R.W. Monginsidi 55711 Klaten  - Kabupaten|Administration - Government & Senate
Pemerintah Kabupaten Cirebon|Jalan Sunan Kalijaga 745611 Kota Cirebon|Administration - Government & Senate
Desa Dauh Puri Kaja|Jl. Gatot Subroto VI J Denpasar Utara 80111 Dompu  - Bali|Government AgenciesAdministration - Government & Senate
Departemen Pertahanan Keamananrepublik Indonesia TNI Al|Jalan Medan Merdeka Barat 1310150 Jakarta|Government AgenciesAdministration - Government & Senate
Taipei Economic And Trade Office|Artha Graha Building 12190 Jakarta|Government AgenciesAdministration - Government & Senate
Kementerian Agama Republik Indonesia|Jalan Lapangan Banteng Barat 310110 Jakarta|Government AgenciesAdministration - Government & Senate
HSB Comp|Jalan Sawo 31016436 Depok|Government AgenciesAdministration - Government & Senate
Dinas Komunikasi Dan Informatika Kabupaten Hulu Sungai Utara|Jalan Norman Unur 5371419 Kabupaten Hulu Sungai Utara|Government AgenciesAdministration - Government & Senate
Sekretariat Jenderal Kementrian Tenaga Kerja|Jalan Jenderal Gatot Subroto 10270 Jakarta|Government AgenciesAdministration - Government & Senate
Avery Dennison Indonesia|Jalan Jababeka Raya 17550 Klaten  - Kabupaten|Government AgenciesAdministration - Government & Senate
Bhumi Pandanaran Sejahtera|Jalan Pamularsih 2050141 Kota Semarang|Government AgenciesAdministration - Government & Senate
Esmond Teknologi Indonesia|Komp. Citra Prima Serpong  Kota Tangerang Selatan|Government AgenciesAdministration - Government & Senate
DISHUBKOMINFO|Jl. KRT Pringgodiningrat Beran Tridadi 55511 Klaten  - Kabupaten|Government AgenciesAdministration - Government & Senate
Kantor Dinas Kelautan Dan Perikanan Prop. Gorontalo|Jalan Mohammad Husni Thamrin 17096112 Kota Gorontalo|Government AgenciesAdministration - Government & Senate
Total Manajemen Solusi|Ruko Permata 17 Jakarta|Government AgenciesAdministration - Government & Senate
Perkasa Sambas Mandiri|Dsn. Simpang  Klaten  - Kabupaten|Government AgenciesAdministration - Government & Senate
Duta Kebudayaan Indonesia|Jalan Jenderal Gatot Subroto 10270 Jakarta|Government AgenciesAdministration - Government & Senate
Direktorat Jenderal Sumber Daya Dan Peralatan Pos Dan Teknologi Informasi|Jalan Medan Merdeka Barat 1710150 Jakarta|Government AgenciesAdministration - Government & Senate
Setjen Kemnaker|Jalan Jenderal Gatot Subroto 10270 Jakarta|Government AgenciesAdministration - Government & Senate
Tujuh Lembaran Baru|Jalan Perintis Kemerdekaan 10640 Jakarta Timur  - Makasar|Government AgenciesAdministration - Government & Senate
Mutiara Skinjaya Anugrah|Grand Slipi Tower Lantai 5 Jakarta|Government AgenciesAdministration - Government & Senate
Nusa Tri Tunggal|Pondok Graha  Riau Islands|Government AgenciesAdministration - Government & Senate
Cahaya Bintang Salapan|Kp. Wangun  Klaten  - Kabupaten|Administration - Government & Senate
Dinas Perkebunan|Jalan Basuki Rahmat 835222 Kota Bandar Lampung|Administration - Government & Senate
Pemerintah Kota Batam|Jl. Engku Putri 129432 Riau Islands|Administration - Government & Senate
Pemerintah Daerah Kabupaten Sleman|Jl. Parasamya 155511 Klaten  - Kabupaten|Administration - Government & Senate
Desa Bukit Batu|Bukit Batu 30654 Ogan Komering Ilir|Administration - Government & Senate
Badan Pendapatan Daerah Kota Pekanbaru|Jalan Teratai 8128156 Kota Pekanbaru|Administration - Government & Senate
Pemerintah Kabupaten Gresik|Jalan Doktor Wahidin Sudirohusodo 24561161 Klaten  - Kabupaten|Administration - Government & Senate
Jaswita Jabar|Graha Jaswita 13540251 Kota Bandung|Administration - Government & Senate
Direktorat Jenderal Pos Dan Telekomunikasi|Gedung Sapta Pesona 1710110 Jakarta|Administration - Government & Senate
Dinas Pendidikan & Kebudayaan Prov. Kalimantan Tengah|Jl. Mayjen D.I Panjaitan 473112 Palangkaraya  - Palangka|Administration - Government & Senate
Bitumen Tanjung Wangi|Jalan Simo 57432 Klaten  - Kabupaten|Administration - Government & Senate
Direktorat Jenderal Rehabilitasi Dan Perhutanan Sosial|Gd. Manggala Wanabakti 10270 Jakarta|Administration - Government & Senate
Pemerintah Kabupaten Temanggung|Jalan Jenderal Sudirman 4156216 Klaten  - Kabupaten|Administration - Government & Senate
Dinas Kependudukan Cat Sipil Dan Keluarga Berencana Kab Cirebon|Jl.Sunan Muria 4 Kota Cirebon|Administration - Government & Senate
Badan Pendapatan Kabupaten Seram Bagian Barat|Jl. J.F. Puttileihalat 97562 Kabupaten Seram Bagian Barat|Administration - Government & Senate
Badan Standarsasi Dan Akreditasi Nasional Keolahragaan|Gedung Grha Pemuda & Olahraga 310270 Jakarta|Administration - Government & Senate
Departemen Imigrasi|Jalan HR Rasuna Said 12940 Jakarta|Administration - Government & Senate
Badan Pengembangan Sumber Daya Manusia Hukum Dan Ham|Jalan Gandul Raya 416515 Depok|Administration - Government & Senate
Pemprov Sulawesi Selatan|Jalan Jenderal Urip Sumoharjo 26912840 Jakarta Timur  - Makasar|Administration - Government & Senate
Pemerintah Kabupaten Banyuwangi|Jl. Ahmad Yani 10068425 Klaten  - Kabupaten|Administration - Government & Senate
